"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 1835288 A1 20070919";"20070919";"200738";"en";"GR 20060100080 20060209";"20060209";"20060209";"";"";"";"";"";"";"G01N 33/68 (2006.01)";"152 35 Vrilissia Attikis
156 69 Papagou";"GR
GR";"115 27 Athens
152 35 Vrilissia Attikis
15669 Papagou";"GR
GR
GR";"115 27 Athens";"GR";"Method for the analysis of naturally occuring peptides and small proteins in cells and solid biological materials using mass spectrometry";"One method was developed for the separation and identification of the naturally occurring peptides and small proteins (NOP/SP) present in solid biological material with the use of mass spectrometry. The separation of protein molecules with molecular weight <10kDa is achieved through mixing and homogenisation of the solid biological materials with aqueous solution containing 50% acetonitrile and 0.1% trifluoroacetic acid (TFA). As opposed to the methods currently used, the present method does not include complicated and time consuming steps (fractionation, chromatography, ultrafiltration, etc.). Because of the NOP/SP analysis with MALDI-TOF the method is rapid, subject to automation and quantification. These elements constitute the method as highthrouput and appropriate for pathological states diagnosis, either through analysis of one or more NOP/SPs as specific biological markers, or through comparison of normal and pathological patterns/profiles. <img file=""imgaf001.tif"" he=""76"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""103""/>"
"EP 1839019 A1 20071003";"20071003";"200740";"en";"GR 20030100504 20031202";"20031202";"20031202";"WO2005054795 20050616 [2005-24]";"GR2004000056 20041202 (en)";"20041202";"";"";"";"G01G 19/44 (2006.01)
G01G 19/18 (2006.01)
A61G 7/05 (2006.01)";"19009 Rafina";"GR";"19009 Rafina";"GR";"106 72 Athens";"GR";"BED-TOP SCALE";""
"EP 1842409 A1 20071010";"20071010";"200741";"en";"GR 20050100039 20050127";"20050127";"20050127";"WO2006079855 20060803 [2006-31]";"GR2006000003 20060126 (en)";"20060126";"";"";"";"H05K 7/20 (2006.01)";"GR- 175 63 P.Faliro, Athens";"GR";"175 63 P. Faliro, Athens";"GR";"Kolonaki 106 74 Athens";"GR";"ENERGY SAVING TELECOMMUNICATIONS SHELTER";""
"EP 1855365 A1 20071114";"20071114";"200746";"en";"";"";"20060509";"";"";"";"";"";"";"H02H 9/04 (2006.01)
G05F 1/571 (2006.01)
H01C 1/16 (2006.01)
H01C 7/06 (2006.01)
H01C 7/10 (2006.01)
H03K 17/30 (2006.01)
H05K 5/06 (2006.01)";"Halandri, 152 34 Athens
Lykovrisi, 141 23 Athens";"GR
GR";"Maroussi, 15124 Athens";"GR";"Kolonaki 106 74 Athens";"GR";"Overvoltage protection device module and method for forming the same";"An overvoltage protection device module (100) includes an electronics assembly (105) and a housing (170) containing the electronics assembly. The electronics assembly includes a varistor device (120), a thyristor (140) electrically connected in parallel with the varistor device, and an inductive coil (130) electrically connected to the thyristor. The electronics assembly further includes triggering circuit (150) electrically connected to a gate terminal (149) of the thyristor. The triggering circuit is configured to monitor a voltage (Vthy) across the thyristor and selectively provide a triggering current to the gate terminal of the thyristor based on the voltage across the thyristor. Related methods of assembly and operation are also discussed. <img file=""imgaf001.tif"" he=""101"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""139""/>"
"EP 1856102 A1 20071121";"20071121";"200747";"en";"";"";"20050228";"WO2006090192 20060831 [2006-35]";"GR2005000005 20050228 (en)";"20050228";"";"";"";"C07D 403/06 (2006.01)
C07D 207/16 (2006.01)
C07D 211/60 (2006.01)
A61K 31/445 (2006.01)
A61K 31/405 (2006.01)";"GR-546 55 Thessaloniki
GR-542 49 Thessaloniki
 GR-552 36 Thessaloniki
 GR-151 27 Melissi, Attiki";"GR
GR
GR
GR";"145 61 Kifissia";"GR";"115 28 Athens";"GR";"MEDICAMENTS FOR ALZHEIMER";""
"EP 1856102 B1 20090617";"20090617";"200925";"en";"";"";"20050228";"WO2006090192 20060831 [2006-35]";"GR2005000005 20050228 (en)";"20050228";"";"";"";"C07D 403/06 (2006.01)
C07D 207/16 (2006.01)
C07D 211/60 (2006.01)
A61K 31/445 (2006.01)
A61K 31/405 (2006.01)";"GR-546 55 Thessaloniki
GR-542 49 Thessaloniki
 GR-552 36 Thessaloniki
 GR-151 27 Melissi, Attiki";"GR
GR
GR
GR";"145 61 Kifissia";"GR";"115 28 Athens";"GR";"MEDICAMENTS FOR ALZHEIMER";""
"EP 1856474 A2 20071121";"20071121";"200747";"en";"GR 20050100106 20050303";"20050303";"20050303";"WO2006092637 20060908 [2006-36]";"GR2006000007 20060215 (en)";"20060215";"";"";"";"F42B 14/02 (2006.01)
F42B 1/028 (2006.01)
F42B 12/22 (2006.01)
F42B 5/02 (2006.01)";"GR-151 21 ANO PEFKI-ATHENS
GR-251 00 AIGIO";"GR
GR";"172 36 Imittos-Athens";"GR";"152 35 Vrilisia";"GR";"GRENADE, 40MM X 53. HIGH VELOCITY, DUAL PURPOSE";""
"EP 1867242 A1 20071219";"20071219";"200751";"en";"GR 20060100169 20060317";"20060317";"20060317";"";"";"";"";"";"";"A23L 1/314 (2006.01)
A23K 1/16 (2006.01)
A23K 1/18 (2006.01)";"47100 Arta";"GR";"47100 Arta";"GR";"114 74 Athens";"GR";"Production method of meat-based products with direct and indirect incorporation of plant and animal fatty substances as carriers of omega-3 and omega-6 fatty acids";"This method has applications in the salt pork industry and is based on the use of three different and new technological process and procedures for the incorporation and assimilation of omega-3 and omega-6 polyunsaturated fatty acids in the products.
The processes regard the use of either a liposomic system, or a special emulsifier or the feeding of pigs with the proper feed. The advantages of the aforementioned new method is, on one hand, the substitution of animal fat with other fatty acids, beneficial to human health and, on the other hand, that the new products, in comparison to those produced with the traditional method, avoid the phenomenon of deoilization, are of more stable quality and with enhanced organoleptic qualities, as well as macroscopic, microbiological and chemical standards."
"EP 1877935 A1 20080116";"20080116";"200803";"en";"GR 20050100216 20050504";"20050504";"20050504";"WO2006117575 20061109 [2006-45]";"GR2006000021 20060428 (en)";"20060428";"";"";"";"G06F 17/30 (2006.01)";"122 41 Egaleo Attikis
111 42 Lambrini Attikis
152 35 Vrilissia Attikis
152 33 Halandri Attikis
166 73 Voula Attikis";"GR
GR
GR
GR
GR";"15310 Ahgia Paraskevi, Athens";"GR";"546 23 Thessaloniki";"GR";"METHOD FOR PROBABILISTIC INFORMATION FUSION TO FILTER MULTI-LINGUAL, SEMI-STRUCTURED AND MULTIMEDIA ELECTRONIC CONTENT";""
"EP 1883372 A2 20080206";"20080206";"200806";"en";"US 674997 P 20050426";"20050426";"20050426";"WO2006116492 20061102 [2006-44]";"US2006015798 20060425 (en)";"20060425";"";"";"";"A61F 2/06 (2006.01)";"15452 Athens
New York, NY 10021";"GR
US";"15452 Athens
New York, NY 10021";"GR
US";"115 28 Athens";"GR";"METHOD AND DEVICES FOR TREATMENT OF VULNERABLE (UNSTABLE) AND/OR STABLE ATHEROSCLEROTIC PLAQUE BY DISRUPTING PATHOLOGIC VASA VASORUM OF THE ATHEROSCLEROTIC PLAQUE";""
"EP 1889237 A1 20080220";"20080220";"200808";"en";"GR 20050100258 20050518";"20050518";"20050518";"WO2006123193 20061123 [2006-47]";"GR2006000025 20060518 (en)";"20060518";"";"";"";"G08B 25/08 (2006.01)";"Voula, Athens 16673";"GR";"16673 Voula - Athens";"GR";"Athens 10677";"GR";"TELEMETRY SIGNAL COLLECTION, PROCESS, DIAGNOSIS, TRANSMISSION, CONTROL AND ACTIVATION SYSTEM";""
"EP 1890687 A1 20080227";"20080227";"200809";"en";"";"";"20050614";"WO2006134406 20061221 [2006-51]";"GR2005000023 20050614 (en)";"20050614";"";"";"";"A61K 31/196 (2006.01)
A61K 47/38 (2006.01)
A61K 47/10 (2006.01)";"GR-145 61 Kifissia";"GR";"145 64 Kifissia";"GR";"115 28 Athens";"GR";"STABLE PHARMACEUTICAL GEL OF DICLOFENAC SODIUM";""
"EP 1890687 B1 20080917";"20080917";"200838";"en";"";"";"20050614";"WO2006134406 20061221 [2006-51]";"GR2005000023 20050614 (en)";"20050614";"";"";"";"A61K 31/196 (2006.01)
A61K 47/38 (2006.01)
A61K 47/10 (2006.01)";"GR-145 61 Kifissia";"GR";"145 64 Kifissia";"GR";"115 28 Athens";"GR";"STABLE PHARMACEUTICAL GEL OF DICLOFENAC SODIUM";""
"EP 1891115 A2 20080227";"20080227";"200809";"en";"GB 0503546 20050221";"20050221";"20050221";"WO2006087637 20060824 [2006-34]";"IB2006000579 20060220 (en)";"20060220";"";"";"";"C07K 16/32 (2006.01)
C12N 15/13 (2006.01)
C12N 15/70 (2006.01)
C12N 1/21 (2006.01)
A61P 35/00 (2006.01)
A61K 39/395 (2006.01)
A61K 48/00 (2006.01)
G01N 33/577 (2006.01)
G01N 33/574 (2006.01)";"GR-10683 Athens
GR-41223 Larissa
GR-15452 Athens
GR-11471 Athens
GR-16561 Glyfada";"GR
GR
GR
GR
GR";"115211 Athens
106 83 Athens";"GR
GR";"106 72 Athens";"GR";"ANTI HER2/NEU ANTIBODY";""
"EP 1910804 A1 20080416";"20080416";"200816";"en";"GR 20050100404 20050801";"20050801";"20050801";"WO2007015115 20070208 [2007-06]";"GR2006000035 20060724 (en)";"20060724";"";"";"";"G01N 21/21 (2006.01)
G01B 11/06 (2006.01)";"GR-541 24 Thessaloniki";"GR";"GR-541 24 Thessaloniki";"GR";"GR-546 23 Thessaloniki";"GR";"IN-SITU AND REAL-TIME DETERMINATION OF THE THICKNESS, OPTICAL PROPERTIES AND QUALITY OF TRANSPARENT COATINGS";""
"EP 1910804 B1 20171108";"20171108";"201745";"en";"GR 20050100404 20050801";"20050801";"20050801";"WO2007015115 20070208 [2007-06]";"GR2006000035 20060724 (en)";"20060724";"";"";"G01N 21/84 (2006.01)";"G01N 21/21 (2006.01)
G01B 11/06 (2006.01)";"54640 Thessaloniki";"GR";"54640 Thessaloniki";"GR";"546 24 Thessaloniki";"GR";"IN-SITU AND REAL-TIME DETERMINATION OF THE THICKNESS, OPTICAL PROPERTIES AND QUALITY OF TRANSPARENT COATINGS.";""
"EP 1915657 A2 20080430";"20080430";"200818";"en";"GR 20050100399 20050728";"20050728";"20050728";"WO2007014866 20070208 [2007-06]";"EP2006064466 20060720 (en)";"20060720";"";"";"";"G05B 19/4097 (2006.01)
G05B 19/418 (2006.01)";"116 32 Athens";"GR";"116 32 Athens";"GR";"114 73 Athens";"GR";"SYSTEM AND PROCESS FOR THE DETAILED DESIGN AND PRODUCTION OF REINFORCEMENT FOR BUILDINGS";""
"EP 1917632 A1 20080507";"20080507";"200819";"en";"GR 20050100445 20050825";"20050825";"20050825";"WO2007023321 20070301 [2007-09]";"GR2006000042 20060822 (en)";"20060822";"";"";"";"G06Q 30/00 (2006.01)
G06F 17/30 (2006.01)
H04L 29/08 (2006.01)";" GR-546 31 Thessaloniki";"GR";"57001 Thessaloniki
546 31 Thessaloniki";"GR
GR";"114 73 Athens";"GR";"METHOD AND SYSTEM FOR LOCATION BASED DISTRIBUTION OF CONTENT ON THE INTERNET";""
"EP 1919563 A1 20080514";"20080514";"200820";"en";"GR 20050100444 20050824";"20050824";"20050824";"WO2007023320 20070301 [2007-09]";"GR2006000037 20060802 (en)";"20060802";"";"";"";"A61N 7/00 (2006.01)
A61B 8/08 (2006.01)
A61B 5/00 (2006.01)
A61B 17/58 (2006.01)";"452 21 Anatoli loanninon
455 00 Kardamisia loanninon
412 23 Larisa
412 23 Larisa
412 22 Larisa
412 22 Larisa";"GR
GR
GR
GR
GR
GR";"452 21 Anatoli loanninon
455 00 Kardamisia loanninon
412 23 Larisa
412 23 Larisa
412 22 Larisa
412 22 Larisa";"GR
GR
GR
GR
GR
GR";"546 23 Thessaloniki";"GR";"METHOD AND SYSTEM FOR THE ENHANCEMENT AND MONITORING OF THE HEALING PROCESS OF BONES";""
"EP 1937757 A1 20080702";"20080702";"200827";"en";"GR 20050100473 20050916";"20050916";"20050916";"WO2007031799 20070322 [2007-12]";"GR2006000011 20060308 (en)";"20060308";"";"";"";"C08J 7/12 (2006.01)
B05D 3/14 (2006.01)
H05H 1/14 (2006.01)
B81B 1/00 (2006.01)";"153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis";"GR
GR
GR
GR
GR";"15310 Aghia Paraskevi, Attika
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153-10 Agia Paraskevi Attikis";"GR
GR
GR
GR";"106 72 Athens";"GR";"METHOD FOR THE FABRICATION OF HIGH SURFACE AREA RATIO AND HIGH ASPECT RATIO SURFACES ON SUBSTRATES";""
"EP 1937757 B1 20181017";"20181017";"201842";"en";"GR 20050100473 20050916";"20050916";"20050916";"WO2007031799 20070322 [2007-12]";"GR2006000011 20060308 (en)";"20060308";"";"";"";"C08J 7/12 (2006.01)
B05D 3/14 (2006.01)
H05H 1/14 (2006.01)
B81B 1/00 (2006.01)";"153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis";"GR
GR
GR
GR
GR";"15310 Athens
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153-10 Agia Paraskevi Attikis";"GR
GR
GR
GR";"145 64 Kifissia, Athens";"GR";"METHOD FOR THE FABRICATION OF HIGH SURFACE AREA RATIO AND HIGH ASPECT RATIO SURFACES ON SUBSTRATES";""
"EP 1941324 A2 20080709";"20080709";"200828";"en";"GR 20050100472 20050916";"20050916";"20050916";"WO2007031803 20070322 [2007-12]";"GR2006000050 20060918 (en)";"20060918";"";"";"";"G03F 7/039 (2006.01)";" GR-153 10 Agia Paraskevi Attikis
 GR-153 10 Agia Paraskevi Attikis
 GR-154 51 Neo Psychico Attikis
GR-153 10 Agia Paraskevi Attikis
GR-153 10 Agia Paraskevi Attikis
GR-153 10 Agia Paraskevi Attikis";"GR
GR
GR
GR
GR
GR";"15310 Aghia Paraskevi, Attika
153 10 Agia Paraskevi, Attikis
153 10 Agia Paraskevi Attikis
154 51 Neo Psychico, Attikis";"GR
GR
GR
GR";"106 72 Athens";"GR";"MOLECULAR RESISTS BASED ON FUNCTIONALIZED POLYCARBOCYCLES";""
"EP 1944271 A1 20080716";"20080716";"200829";"en";"GR 2006100679 20061215";"20061215";"20061215";"";"";"";"";"";"C02F 103/32 (2006.01)";"C02F 1/04 (2006.01)
C02F 1/40 (2006.01)
B01D 1/18 (2006.01)
B01D 17/02 (2006.01)";"152 35 Vrilissia Attkis
172 35 Dafni Attikis
152 37 Filothei Attikis";"GR
GR
GR";"152 35 Vrilissia Attkis
172 35 Dafni Attikis
152 37 Filothei Attikis";"GR
GR
GR";"106 72 Athens";"GR";"Waste treatment process";"The present invention succeeds to effectively deal with the problems associated with the treatment of the liquid waste (ie. ""katsigaros"" liquid waste) generated during the production of olive oil in traditional 3-phase olive mills. The method of the present invention may be used to effectively treat and manage the aforementioned liquid waste efficiently and environmentally-friendly and also produces useful by-products of substantial commercial value (eg. olive oil, solid fuel, animal feed, electricity, usable heat). <img file=""imgaf001.tif"" he=""119"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""67""/>"
"EP 1944271 B1 20141126";"20141126";"201448";"en";"GR 2006100679 20061215";"20061215";"20061215";"";"";"";"";"";"C02F 103/32 (2006.01)";"C02F 1/04 (2006.01)
C02F 1/40 (2006.01)
B01D 1/18 (2006.01)
B01D 17/02 (2006.01)";"152 35 Vrilissia Attkis
172 35 Dafni Attikis
152 37 Filothei Attikis";"GR
GR
GR";"152 35 Vrilissia Attkis
172 35 Dafni Attikis
152 37 Filothei Attikis";"GR
GR
GR";"106 72 Athens";"GR";"Waste treatment process";""
"EP 1951403 A1 20080806";"20080806";"200832";"en";"GR 20050100558 20051031";"20051031";"20051031";"WO2007052084 20070510 [2007-19]";"GR2006000058 20061030 (en)";"20061030";"";"";"";"B01D 39/20 (2006.01)
B01D 46/10 (2006.01)
B01D 46/24 (2006.01)
F01N 3/022 (2006.01)
F01N 3/027 (2006.01)";"GR-552 36 Panorama Thessaloniki
GR-546 46 Thessaloniki";"GR
GR";"54124 Panepistimioupoli, Thessaloniki
Toronto, ON M5J 2K2";"GR
CA";"542 49 Thessaloniki";"GR";"FILTERING DEVICE FOR DIESEL ENGINE EXHAUST GAS";""
"EP 1951403 B1 20171206";"20171206";"201749";"en";"GR 20050100558 20051031";"20051031";"20051031";"WO2007052084 20070510 [2007-19]";"GR2006000058 20061030 (en)";"20061030";"";"";"";"B01D 39/20 (2006.01)
B01D 46/10 (2006.01)
B01D 46/24 (2006.01)
F01N 3/021 (2006.01)
F01N 3/022 (2006.01)
F01N 3/027 (2006.01)
F01N 3/035 (2006.01)
F01N 3/28 (2006.01)";"GR-552 36 Panorama Thessaloniki
55133 Thessaloniki";"GR
GR";"54636 Thessaloniki
55236 Thessaloniki
55133 Thessaloniki";"GR
GR
GR";"542 49 Thessaloniki";"GR";"FILTERING DEVICE FOR DIESEL ENGINE EXHAUST GAS";""
"EP 1951629 A1 20080806";"20080806";"200832";"en";"GR 20050100557 20051031";"20051031";"20051031";"WO2007052085 20070510 [2007-19]";"GR2006000059 20061031 (en)";"20061031";"";"";"";"C02F 3/06 (2006.01)
C02F 3/34 (2006.01)";" GR-541 24 Thessaloniki
 GR-541 24 Thessaloniki";"GR
GR";"54124 Panepistimioupoli, Thessaloniki
P.O. Box 116 541 24 Thessaloniki
541 24 Thessaloniki";"GR
GR
GR";"542 49 Thessaloniki";"GR";"METHOD FOR GROUNDWATER TREATMENT";""
"EP 1957310 A1 20080820";"20080820";"200834";"en";"GR 20050100600 20051209";"20051209";"20051209";"WO2007066155 20070614 [2007-24]";"GR2006000065 20061128 (en)";"20061128";"";"";"";"B60K 31/00 (2006.01)
B60W 40/00 (2006.01)";"58100 Giannitsa Pellas
144 52 Metamorfosi";"GR
GR";"58100 Giannitsa Pellas
144 52 Metamorfosi";"GR
GR";"GR-106 72 Athens";"GR";"AMPLIFIER OF ACCELERATION SIGNAL - AUTO PILOT, FOR NEW TECHNOLOGY CARS.";""
"EP 1957310 B1 20100421";"20100421";"201016";"en";"GR 20050100600 20051209";"20051209";"20051209";"WO2007066155 20070614 [2007-24]";"GR2006000065 20061128 (en)";"20061128";"";"";"";"B60K 31/00 (2006.01)
B60W 40/00 (2006.01)";"58100 Giannitsa Pellas
144 52 Metamorfosi";"GR
GR";"58100 Giannitsa Pellas
144 52 Metamorfosi";"GR
GR";"106 82 Athens";"GR";"AMPLIFIER OF ACCELERATION SIGNAL - AUTO PILOT, FOR NEW TECHNOLOGY CARS.";""
"EP 1959730 A1 20080827";"20080827";"200835";"en";"GR 20050100504 20051005";"20051005";"20051005";"WO2007039776 20070412 [2007-15]";"GR2006000054 20061004 (en)";"20061004";"";"";"";"A01M 7/00 (2006.01)";"22100 Tripoli";"GR";"22100 Tripoli";"GR";"105 56 Athens";"GR";"PORTABLE MIST SPRAYER FOR PESTICIDES AND LIQUID FERTILIZERS SUITABLE FOR MULTIPLE USE";""
"EP 1968496 B1 20110420";"20110420";"201116";"en";"GR 20050100593 20051205";"20051205";"20051205";"WO2007066156 20070614 [2007-24]";"GR2006000066 20061205 (en)";"20061205";"";"";"";"A61F 2/36 (2006.01)";"152 34 Chalandri Attikis";"GR";"152 34 Chalandri Attikis";"GR";"15121 Pefki, Attiki";"GR";"HIP RESURFACING IMPLANT";""
"EP 1981725 A1 20081022";"20081022";"200843";"en";"GR 20060100072 20060207
GR 20060100258 20060503";"20060207
20060503";"20060207";"WO2007090706 20070816 [2007-33]";"EP2007050244 20070111 (en)";"20070111";"";"";"";"B60C 27/20 (2006.01)";"56727 Neapoli Thessalonikis";"GR";"56727 Neapoli Thessalonikis";"GR";"114 73 Athens";"GR";"ANTI-SKID DEVICE LOCATED IN A CIRCUMFERENTIAL GROOVE OF A TIRE";""
"EP 1981725 B1 20100217";"20100217";"201007";"en";"GR 20060100072 20060207
GR 20060100258 20060503";"20060207
20060503";"20060207";"WO2007090706 20070816 [2007-33]";"EP2007050244 20070111 (en)";"20070111";"";"";"";"B60C 27/20 (2006.01)";"56727 Neapoli Thessalonikis";"GR";"56727 Neapoli Thessalonikis";"GR";"114 73 Athens";"GR";"ANTI-SKID DEVICE LOCATED IN A CIRCUMFERENTIAL GROOVE OF A TIRE";""
"EP 1991811 A2 20081119";"20081119";"200847";"en";"GR 2006100119 20060224";"20060224";"20060224";"WO2007096677 20070830 [2007-35]";"GR2007000009 20070215 (en)";"20070215";"";"";"";"F24B 1/188 (2006.01)";"57010 Pefka Thessaloniki";"GR";"57010 Pefka Thessaloniki";"GR";"546 26 Thessaloniki";"GR";"HEAT SUPER EXPLOITATION CAGE";""
"EP 1993956 A1 20081126";"20081126";"200848";"en";"GR 20060100122 20060224";"20060224";"20060224";"WO2007096679 20070830 [2007-35]";"GR2007000012 20070226 (en)";"20070226";"";"";"";"C02F 1/44 (2006.01)
B01D 61/02 (2006.01)
B01D 61/06 (2006.01)
C02F 103/08 (2006.01)";"15669 Papagou
12131 Peristeri
18533 Peiraeus
15669 Papagou
15771 Zografou
18546 Peiraeus
15772 Zografou";"GR
GR
GR
GR
GR
GR
GR";"15669 Papagou
12131 Peristeri
18533 Peiraeus
15669 Papagou
15771 Zografou
18546 Peiraeus
15772 Zografou";"GR
GR
GR
GR
GR
GR
GR";"GR-152 35 Vrilisia (Athens)";"GR";"SYSTEM FOR ENERGY RECOVERY AND REDUCTION OF DEPOSITS ON THE MEMBRANE SURFACES IN (VARIABLE POWER AND VARIABLE PRODUCTION) REVERSE OSMOSIS DESALINATION SYSTEMS";""
"EP 2001441 A2 20081217";"20081217";"200851";"en";"GR 20060100144 20060303";"20060303";"20060303";"WO2007099377 20070907 [2007-36]";"GR2007000015 20070305 (en)";"20070305";"";"";"";"A61K 9/127 (2006.01)
A61K 31/555 (2006.01)
A61P 35/00 (2006.01)";"17455 Alimos Attikis";"GR";"17455 Alimos Attikis";"GR";"106 72 Athens";"GR";"CANCER TREATMENTS";""
"EP 2019922 A1 20090204";"20090204";"200906";"en";"GR 20060100482 20060508";"20060508";"20060508";"WO2007129126 20071115 [2007-46]";"GR2007000023 20070426 (en)";"20070426";"";"";"";"F03B 13/18 (2006.01)";"156 69 Papagos, Attikis";"GR";"156 69 Papagos, Attikis";"GR";"106 82 Athens";"GR";"PRODUCTION OF ELECTRIC ENERGY FROM SEA WAVES";""
"EP 2019922 B1 20150415";"20150415";"201516";"en";"GR 20060100482 20060508";"20060508";"20060508";"WO2007129126 20071115 [2007-46]";"GR2007000023 20070426 (en)";"20070426";"";"";"";"F03B 13/18 (2006.01)";"156 69 Papagos, Attikis";"GR";"156 69 Papagos, Attikis";"GR";"106 82 Athens";"GR";"PRODUCTION OF ELECTRIC ENERGY FROM SEA WAVES";""
"EP 2029648 A1 20090304";"20090304";"200910";"en";"GR 20060100309 20060526";"20060526";"20060526";"WO2007138364 20071206 [2007-49]";"GR2007000032 20070524 (en)";"20070524";"";"";"";"C08G 12/12 (2006.01)
C09J 161/24 (2006.01)
B27N 3/00 (2006.01)";"620-55 k. Poroia, Serres
Thessaloniki, Kalamaria 551-31";"GR
GR";"Kalamaria 55131 Thessaloniki";"GR";"106 82 Athens";"GR";"AMINOPLAST RESIN OF HIGH PERFORMANCE FOR LIGNOCELLULOSIC MATERIALS";""
"EP 2029648 B1 20180502";"20180502";"201818";"en";"GR 20060100309 20060526";"20060526";"20060526";"WO2007138364 20071206 [2007-49]";"GR2007000032 20070524 (en)";"20070524";"";"";"";"C08G 12/12 (2006.01)
C09J 161/24 (2006.01)
C08L 97/02 (2006.01)";"620-55 k. Poroia, Serres
Thessaloniki, Kalamaria 551-31";"GR
GR";"55131 Thessaloniki";"GR";"106 82 Athens";"GR";"AMINOPLAST RESIN OF HIGH PERFORMANCE FOR LIGNOCELLULOSIC MATERIALS";""
"EP 2042042 A1 20090401";"20090401";"200914";"en";"GR 20070100568 20070917";"20070917";"20070917";"";"";"";"";"";"";"A23L 1/164 (2006.01)
A23L 1/217 (2006.01)
A21D 13/00 (2006.01)";"55132 Kalamaria";"GR";"100 Stavrochori";"GR";"106 80 Athens";"GR";"Snack based on cheese and potato starch";"Snack food with raised walls (inflated) based on cheese and potato starch, produced by a special forming of dough (forming of a sheet), baking in the oven and packaging it in a protected atmosphere. Solid food of snack type produced by a combination of mechanical parts constructed for the food industry. A product with ideal crisp taste due to its final humidity and fats, coloured by natural methods (addition of milk whey and taste materials), and finally produced by the addition of 53% and with an acceptable proportion of 30-60% Edam cheese, Gouda cheese or other yellow processed cheeses with 36% to 48% fats. It is designed as an aliment for consuming it during any time of the day and in any quantity without side-effects."
"EP 2044635 A1 20090408";"20090408";"200915";"en";"GR 20060100359 20060619";"20060619";"20060619";"WO2007148140 20071227 [2007-52]";"GR2007000035 20070619 (en)";"20070619";"";"";"";"H01L 51/00 (2006.01)";"153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis
153 10 Agia Paraskevi Attikis";"GR
GR
GR";"15310 Aghia Paraskevi, Attiki
153 10 Agia Paraskevi, Attikis
53 10 Agia Paraskevi Attikis";"GR
GR
GR";"106 72 Athens";"GR";"TUNING THE EMISSION COLOR OF SINGLE LAYER, PATTERNED FULL COLOR ORGANIC LIGHT EMITTING DIODES";""
"EP 2045029 A1 20090408";"20090408";"200915";"en";"GR 20070100504 20070802";"20070802";"20070802";"";"";"";"";"";"";"B22F 3/11 (2006.01)
C22C 1/04 (2006.01)";"54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki";"GR
GR
GR
GR
GR";"54124 Panepistimioupoli, Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki";"GR
GR
GR
GR
GR
GR";"542 49 Thessaloniki";"GR";"Fabrication of aluminium foams by the impregnation of polyurethane foam with a slurry comprising aluminium and salt";"Fabrication of 3D open cell metal foams with the method of impregnation of polymeric foams with slurries containing metal powders and one or more salts. The process includes drying at ambient temperature of the template foam being impregnated with the slurry, heat treatment to produce evaporation of the template foam followed by final sintering at the appropriate temperature and in an inert atmosphere in order to produce structures with improved properties. <img file=""imgaf001.tif"" he=""70"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""94""/>"
"EP 2045029 B1 20120201";"20120201";"201205";"en";"GR 20070100504 20070802";"20070802";"20070802";"";"";"";"";"";"";"B22F 3/11 (2006.01)
C22C 1/04 (2006.01)";"54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki";"GR
GR
GR
GR
GR";"54124 Panepistimioupoli Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki
54124 Thessaloniki";"GR
GR
GR
GR
GR
GR";"542 49 Thessaloniki";"GR";"Fabrication of aluminium foams by the impregnation of polyurethane foam with a slurry comprising aluminium and salt";""
