"Publication";"Publication date";"Publication week";"Publication language";"Priority";"Priority date";"First filing date";"International publication";"International application";"International application date";"IPC1-7 further and additional";"IPC 1-7 main";"IPC full level (additional information)";"IPC full level (invention information)";"Inventor (city)";"Inventor (country)";"Applicant / Proprietor (city)";"Applicant / Proprietor (country)";"Representative (city)";"Representative (country)";"Title (en)";"Abstract (en)"
"EP 2953482 A1 20151216";"20151216";"201551";"en";"SE 1300087 20130205";"20130205";"20130205";"WO2014123466 20140814 [2014-33]";"SE2014000010 20140128 (en)";"20140128";"";"";"";"A23L 1/105 (2006.01)
A23L 1/29 (2006.01)";"GR-17455 Alimos";"GR";"261 51 Landskrona";"SE";"141 02 Huddinge";"SE";"LIQUID OAT BASE";""
"EP 2953482 B1 20190116";"20190116";"201903";"en";"SE 1300087 20130205";"20130205";"20130205";"WO2014123466 20140814 [2014-33]";"SE2014000010 20140128 (en)";"20140128";"";"";"";"A23L 7/104 (2016.01)
A23L 33/00 (2016.01)";"GR-17455 Alimos";"GR";"261 51 Landskrona";"SE";"251 10 Helsingborg";"SE";"LIQUID OAT BASE";""
"EP 2956234 A1 20151223";"20151223";"201552";"en";"EP 13000764 20130214";"20130214";"20130214";"WO2014124751 20140821 [2014-34]";"EP2014000386 20140212 (en)";"20140212";"";"";"";"B01J 2/04 (2006.01)";"57223 Kreuztal
55118 Mainz
Chengdu, Sichuan 610051
55128 Mainz
55288 Udenheim
68163 Mannheim
45221 Ioannina";"DE
DE
CN
DE
DE
DE
GR";"80539 München";"DE";"80799 München";"DE";"PROCESS AND DEVICE FOR PARTICLE SYNTHESIS ON A SUPERAMPHIPHOBIC OR SUPEROLEOPHOBIC SURFACE";""
"EP 2957014 A1 20151223";"20151223";"201552";"en";"";"";"20130214";"WO2014124672 20140821 [2014-34]";"EP2013052967 20130214 (en)";"20130214";"";"";"";"H02J 3/38 (2006.01)";"S-72228 Västerås
Cary, North Carolina 27518
PL-30-348 Krakow
PL-59-720 Raciborowice
S-72228 Västerås
GR-54248 Thessaloniki
Cary, North Carolina 27518";"SE
US
PL
PL
SE
GR
US";"8050 Zürich";"CH";"721 83 Västerås";"SE";"METHOD OF CONTROLLING A SOLAR POWER PLANT, A POWER CONVERSION SYSTEM, A DC/AC INVERTER AND A SOLAR POWER PLANT";""
"EP 2957014 B1 20161207";"20161207";"201649";"en";"";"";"20130214";"WO2014124672 20140821 [2014-34]";"EP2013052967 20130214 (en)";"20130214";"";"";"";"H02J 3/38 (2006.01)";"S-72228 Västerås
27560, Morrisville
PL-30-348 Krakow
PL-59-720 Raciborowice
S-72228 Västerås
GR-54248 Thessaloniki
95050, Santa Clara";"SE
US
PL
PL
SE
GR
US";"5400 Baden";"CH";"721 78 Västerås";"SE";"METHOD OF CONTROLLING A SOLAR POWER PLANT, A POWER CONVERSION SYSTEM, A DC/AC INVERTER AND A SOLAR POWER PLANT";""
"EP 2961478 A1 20160106";"20160106";"201601";"en";"US 201361771466 P 20130301
US 201361786140 P 20130314";"20130301
20130314";"20130301";"WO2014131115 20140904 [2014-36]";"CA2014000161 20140228 (en)";"20140228";"";"";"";"A61N 5/06 (2006.01)
F21S 10/00 (2006.01)
F21V 33/00 (2006.01)";"14562 Kifissia Athens
63038 Grottammare";"GR
IT";"Laval, QC H7V 4A7";"CA";"London EC4M 7AW";"GB";"PHOTOTHERAPEUTIC DEVICE, METHOD AND USE";""
"EP 2964762 A1 20160113";"20160113";"201602";"fr";"FR 1351893 20130304";"20130304";"20130304";"WO2014136028 20140912 [2014-37]";"IB2014059343 20140228 (fr)";"20140228";"";"";"";"C12N 9/88 (2006.01)
C12P 7/48 (2006.01)
C12P 7/64 (2006.01)";"F-78190 Trappes
F-75006 Paris
GR-17121 Nea Smyrni
F-78100 Saint-Germain-en-Laye";"FR
FR
GR
FR";"75007 Paris
75016 Paris";"FR
FR";"75008 Paris";"FR";"MUTANT YEASTS HAVING AN INCREASED PRODUCTION OF LIPIDS AND OF CITRIC ACID";""
"EP 2966585 A1 20160113";"20160113";"201602";"en";"";"";"20140711";"";"";"";"";"";"";"G06F 21/31 (2013.01)";"17561 P. Faliro
14121 N. Iraklio";"GR
GR";"81379 München";"DE";"81545 München";"DE";"Method and system for initiating a login of a user";"The invention relates to a method for initiating a login (L) of a user into a system, the login (L) being passed by inputting a username into a username field, inputting a password into a password field (S2), and verifying whether the inputted username is stored by the system and whether the inputted password is a stored password corresponding to the inputted username (S4), the method comprising the system requiring during inputting character by character of the username and/or the password in addition waiting a predefined delay (A2) and/or inputting at least one character at at least one position within a character sequence of the username and/or the password, respectively, wherein the at least one character differs from the character of the username at the at least one position when inputting the username and/or differs from the character of the password at the at least one position when inputting the password. <img file=""imgaf001.tif"" he=""102"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""110""/>"
"EP 2968561 A1 20160120";"20160120";"201603";"en";"US 201361786197 P 20130314
US 201361873747 P 20130904
US 201414204741 20140311";"20130314
20130904
20140311";"20130314";"WO2014138930 20140918 [2014-38]";"CA2014000261 20140314 (en)";"20140314";"";"";"";"A61K 41/00 (2006.01)
A61K 8/02 (2006.01)
A61K 9/00 (2006.01)
A61L 15/42 (2006.01)
A61N 5/06 (2006.01)
A61P 17/00 (2006.01)
A61P 17/02 (2006.01)
A61Q 19/08 (2006.01)";"14562 Kifissia, Athens
63038 Grottammare
Montréal, Québec H2V 1Y7";"GR
IT
CA";"Laval, QC H7V 4A7";"CA";"London EC4M 7AW";"GB";"BIOPHOTONIC MATERIALS AND USES THEREOF";""
"EP 2974229 A1 20160120";"20160120";"201603";"en";"US 201361786762 P 20130315
US 201314141513 20131227";"20130315
20131227";"20130315";"WO2014149928 20140925 [2014-39]";"US2014021557 20140307 (en)";"20140307";"";"";"";"H04L 29/08 (2006.01)
H04W 4/08 (2009.01)
H04W 4/20 (2009.01)
H04W 8/00 (2009.01)
H04W 76/02 (2009.01)
H04W 84/18 (2009.01)";"Grapevine, TX 76051
Stow, Ohio 44224
GR-15354 Athens";"US
US
GR";"Mountain View, CA 94043";"US";"80802 München";"DE";"METHODS AND APPARATUS FOR TRANSMITTING SERVICE INFORMATION IN A NEIGHBORHOOD OF PEER-TO-PEER COMMUNICATION GROUPS";""
"EP 2974444 A1 20160120";"20160120";"201603";"en";"US 201313792595 20130311";"20130311";"20130311";"WO2014139720 20140918 [2014-38]";"EP2014051623 20140128 (en)";"20140128";"";"";"";"H04W 36/00 (2009.01)
H04W 48/18 (2009.01)";"82008 Unterhaching
GR-18532 Piraeus
GR-18532 Piraeus";"DE
GR
GR";"85579 Neubiberg";"DE";"80336 München";"DE";"COMMUNICATION CONTROLLER AND METHOD FOR TRANSMITTING DATA";""
"EP 2976867 A1 20160127";"20160127";"201604";"en";"";"";"20130322";"WO2014146726 20140925 [2014-39]";"EP2013056128 20130322 (en)";"20130322";"";"";"";"H04L 29/08 (2006.01)";"52066 Aachen
GR-54248 Thessaloniki
52072 Aachen";"DE
GR
DE";"164 83 Stockholm";"SE";"52134 Herzogenrath";"DE";"RE-ROUTING OF DIAMETER COMMANDS";""
"EP 2995374 A1 20160316";"20160316";"201611";"en";"";"";"20140910";"";"";"";"";"";"";"B01J 23/745 (2006.01)
B01J 23/89 (2006.01)
B01J 35/00 (2006.01)
B01J 35/06 (2006.01)
B01J 23/755 (2006.01)
B01J 37/16 (2006.01)
B01J 37/02 (2006.01)";"560054 Bangalore, Karnataka
68200 Evros
560054 Bangalore, Karnataka
Lutz, FL 33549
78371 Olomouc
77900 Olomouc";"IN
GR
IN
US
CZ
CZ";"78371 Olomouc";"CZ";"150 00 Praha 5";"CZ";"Composite material comprising organic-fibers and zerovalent iron nanoparticles and its use as catalyst";"The present invention provides a composite material containing nanoscale zerovalent iron particles, which comprises a fibrous host material and nanoscale zerovalent iron particles (NZVIs) comprising iron and optionally further one or more metals.
The invention further provides a method of preparation of the material containing nanoscale zerovalent iron particles of any one of the preceding claims, wherein a fibrous material is impregnated with an aqueous or C1-C4-alcoholic iron salt solution, said solution optionally containing at least one further metal containing salt, and subsequently the impregnated fibrous material is subjected to reduction to convert in situ the metal ions to nanoscale zerovalent iron particles.
The novel composite materials are useful as filters and/or catalysts."
"EP 2996702 A1 20160323";"20160323";"201612";"en";"";"";"20130514";"WO2014184615 20141120 [2014-47]";"IB2013053914 20130514 (it)";"20130514";"";"";"";"A61K 36/481 (2006.01)
A61P 29/00 (2006.01)";"I-50014 Fiesole
GR-15231 Athens
I-59015 Carmignano
I-59100 Prato
I-59013 Montemurlo
I-59100 Prato
I-51100 Pistoia
I-50136 Firenze
I-59100 Prato
I-29122 Piacenza";"IT
GR
IT
IT
IT
IT
IT
IT
IT
IT";"20123 Milano";"IT";"20122 Milano";"IT";"EXTRACTS OF ASTRAGALUS MEMBRANACEUS, THEIR PREPARATION AND USE AS ANTIHYPERALGESIC AND ANTIALLODYNIC DRUGS";""
"EP 2998000 A1 20160323";"20160323";"201612";"en";"EP 14185033 20140916";"20140916";"20140916";"";"";"";"";"";"";"A61P 35/00 (2006.01)
A61K 35/74 (2015.01)
G01N 33/50 (2006.01)
A61K 45/06 (2006.01)";"Co. Cork
1146 Athens";"IE
GR";"Cork";"IE";"D2 Dublin";"IE";"COMBINATION THERAPY FOR CANCER";"A combination comprising an effective dose of a chemotherapeutic-activating wild-type bacterium and an effective dose of a chemotherapeutic agent that is responsive to the chemotherapeutic activating wild-type bacterium, for use in a method of preventing or treating cancer in a mammal. <img file=""imgaf001.tif"" he=""104"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""97""/>"
"EP 2999354 A1 20160330";"20160330";"201613";"en";"US 201361816500 P 20130426";"20130426";"20130426";"WO2014193567 20141204 [2014-49]";"US2014035186 20140423 (en)";"20140423";"";"";"";"A23L 11/30 (2016.01)";"GR-18902 Ambelakia
Davis, California 95618";"GR
US";"Oakland, CA 94607";"US";"London WC1R 5JJ";"GB";"METHOD FOR DEBITTERING OLIVES";""
"EP 3000214 A1 20160330";"20160330";"201613";"en";"US 201361825595 P 20130521
US 201314055901 20131017";"20130521
20131017";"20130521";"WO2014189782 20141127 [2014-48]";"US2014038363 20140516 (en)";"20140516";"";"";"";"H04L 29/06 (2006.01)
H04L 29/08 (2006.01)";"GR-153 54 Athens";"GR";"Chicago, IL 60654";"US";"80333 München";"DE";"METHOD FOR ESTABLISHING DEVICE-TO-DEVICE COMMUNICATION";""
"EP 3000214 B1 20170405";"20170405";"201714";"en";"US 201361825595 P 20130521
US 201314055901 20131017";"20130521
20131017";"20130521";"WO2014189782 20141127 [2014-48]";"US2014038363 20140516 (en)";"20140516";"";"";"";"H04L 29/06 (2006.01)
H04L 29/08 (2006.01)";"GR-153 54 Athens";"GR";"Chicago, IL 60654";"US";"80333 München";"DE";"METHOD FOR ESTABLISHING DEVICE-TO-DEVICE COMMUNICATION";""
"EP 3001525 A1 20160330";"20160330";"201613";"de";"DE 202014104564 U 20140924";"20140924";"20140924";"";"";"";"";"";"";"H02H 9/04 (2006.01)
H01L 23/051 (2006.01)";"34131 Kassel
34125 Kassel
34225 Baunatal
34121 Kassel";"DE
DE
DE
DE";"15124 Maroussi Athens";"GR";"London WC1V 7JH";"GB";"SHORT CIRCUIT SWITCH WITH SEMICONDUCTOR SWITCH AND ASSEMBLY FOR SHORT-CIRCUITING A THREE-PHASE ALTERNATING CURRENT";""
"EP 3002720 A1 20160406";"20160406";"201614";"en";"";"";"20141002";"";"";"";"";"";"";"G06Q 10/10 (2012.01)";"18648 Drapetsona";"GR";"81379 München";"DE";"81545 München";"DE";"Method, device and software product for filling an address field of an electronic message";"The invention starts out from the consideration that a content, context or the like as entered by a user may be used to automatically evaluate a recipient or recipients which the message is directed to.
An aspect of the invention is a method for filling a recipient address field of an electronic message in a messaging application executable on a computer, said method comprising the steps: - selecting a content chunk from a content area of said message; - deciding whether said content chunk matches a predefined addressee identifier pattern; and - if said content chunk is decided to match said predefined addressee identifier pattern: - extracting a name portion from said content chunk, - comparing said name portion with an entry of entries of a predefined directory, and - if said name portion matches said entry: - creating a recipient address proposal based on an address stored in said entry and suitable for a format of the electronic message, and - filling said recipient address proposal into said recipient address field of said message.
A similar aspect is a method for filling a sender address field of an electronic message. Further aspects are a device for filling an address field of an electronic message, and a software product for filling an address field of an electronic message. <img file=""imgaf001.tif"" he=""118"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""78""/>"
"EP 3004382 A1 20160413";"20160413";"201615";"en";"GB 201309928 20130604";"20130604";"20130604";"WO2014195698 20141211 [2014-50]";"GB2014051721 20140604 (en)";"20140604";"";"";"";"C12Q 1/68 (2006.01)
G01N 33/68 (2006.01)";"Crumlin Co Antrim BT29 4QY
Crumlin Co Antrim BT29 4QY
Crumlin Co Antrim BT29 4QY
4561 Athens";"GB
GB
GB
GR";"Crumlin, County Antrim BT29 4QY";"GB";"London EC2A 2ES";"GB";"METHOD FOR AIDING DIFFERENTIAL DIAGNOSIS OF STROKE";""
"EP 3004382 B1 20181226";"20181226";"201852";"en";"GB 201309928 20130604";"20130604";"20130604";"WO2014195698 20141211 [2014-50]";"GB2014051721 20140604 (en)";"20140604";"";"";"";"C12Q 1/68 (2018.01)
G01N 33/68 (2006.01)";"Crumlin Co Antrim BT29 4QY
Crumlin Co Antrim BT29 4QY
Crumlin Co Antrim BT29 4QY
4561 Athens";"GB
GB
GB
GR";"Crumlin, County Antrim BT29 4QY";"GB";"London EC2A 2ES";"GB";"METHOD FOR AIDING DIFFERENTIAL DIAGNOSIS OF STROKE";""
"EP 3005376 A1 20160413";"20160413";"201615";"en";"EP 13002741 20130527";"20130527";"20130527";"WO2014191076 20141204 [2014-49]";"EP2014001256 20140509 (en)";"20140509";"";"";"";"H01B 1/12 (2006.01)";"Southampton SO15 2NY
61476 Glashuetten
Southampton SO15 2LH
Southampton SO16 4RG
Southampton SO15 2BA";"GB
DE
GR
GB
GB";"64293 Darmstadt";"DE";"";"";"IMPROVED ELECTRON TRANSFER COMPOSITION FOR USE IN AN ELECTRON INJECTION LAYER FOR ORGANIC ELECTRONIC DEVICES";""
"EP 3005645 B1 20180214";"20180214";"201807";"de";"DE 102013105740 20130604";"20130604";"20130604";"WO2014195353 20141211 [2014-50]";"EP2014061569 20140604 (de)";"20140604";"";"";"";"H04L 29/06 (2006.01)";"82049 Pullach
85229 Markt Indersdorf
Seattle, WA 98109
PO 19013, Athen
81737 München
80687 München
Campbell, CA 95008";"DE
DE
US
GR
DE
DE
US";"80992 München";"DE";"81629 München";"DE";"METHOD FOR SECURING DATA OF TELECOMMUNICATIONSTRAFFIC";""
"EP 3007516 B1 20170830";"20170830";"201735";"en";"";"";"20141006";"";"";"";"";"";"";"H04W 36/00 (2009.01)
H04W 88/06 (2009.01)
H04W 88/10 (2009.01)";"15354 Athens";"GR";"Chicago, IL 60654";"US";"10707 Berlin";"DE";"Apparatus and method for internet protocol (IP) flow mobility";""
"EP 3014630 A1 20160504";"20160504";"201618";"en";"";"";"20130624";"WO2014206435 20141231 [2014-53]";"EP2013063090 20130624 (en)";"20130624";"";"";"";"H01B 1/04 (2006.01)
C01B 31/04 (2006.01)";"CH-5405 Baden
Cambridge  Cambridgeshire CB4 1JQ
Oxford, Oxfordshire OX2 0ED";"CH
GB
GR";"8050 Zürich";"CH";"721 83 Västerås";"SE";"A MATERIAL COMPRISING REDUCED GRAPHENE OXIDE, A DEVICE COMPRISING THE MATERIAL AND A METHOD OF PRODUCING THE MATERIAL";""
"EP 3014630 B1 20170809";"20170809";"201732";"en";"";"";"20130624";"WO2014206435 20141231 [2014-53]";"EP2013063090 20130624 (en)";"20130624";"";"";"";"H01B 3/18 (2006.01)
H01B 1/04 (2006.01)
H01B 17/58 (2006.01)
B32B 9/00 (2006.01)";"5405 Baden
Cambridge  Cambridgeshire CB4 1JQ
Oxford, Oxfordshire OX2 0ED";"CH
GB
GR";"5400 Baden";"CH";"721 78 Västerås";"SE";"A MATERIAL COMPRISING REDUCED GRAPHENE OXIDE, A DEVICE COMPRISING THE MATERIAL AND A METHOD OF PRODUCING THE MATERIAL";""
"EP 3016686 A1 20160511";"20160511";"201619";"en";"US 201361842433 P 20130703
US 201361904204 P 20131114";"20130703
20131114";"20130703";"WO2015000058 20150108 [2015-01]";"CA2014000536 20140702 (en)";"20140702";"";"";"";"A61K 41/00 (2006.01)
A61K 47/30 (2006.01)
A61P 17/02 (2006.01)
C09K 11/02 (2006.01)
C09K 11/06 (2006.01)";"14562 Athens
63038 Grottammare (Ascoli Piceno)
Laval, Québec H7T 1V3";"GR
IT
CA";"Laval, QC H7V 4A7";"CA";"London EC4M 7AW";"GB";"BIOPHOTONIC COMPOSITIONS COMPRISING A CHROMOPHORE AND A GELLING AGENT FOR TREATING WOUNDS";""
"EP 3021025 A1 20160518";"20160518";"201620";"de";"";"";"20141112";"";"";"";"";"";"";"F16L 11/08 (2006.01)
F16L 11/16 (2006.01)
F16L 11/24 (2006.01)";"47906 Kempen
41751 Viersen
12242 Athen";"DE
DE
GR";"6304 Zug";"CH";"47803 Krefeld";"DE";"Hose and method for producing a hose";""
"EP 3023900 A1 20160525";"20160525";"201621";"en";"US 201462082900 P 20141121";"20141121";"20141121";"";"";"";"";"";"";"G06F 21/36 (2013.01)
G06F 21/42 (2013.01)";"53070 Filotas
13104 Manlius, New York";"GR
US";"1218 Le Grand-Saconnex";"CH";"65185 Wiesbaden";"DE";"A METHOD, DEVICE AND SYSTEM FOR ACCOUNT RECOVERY WITH A DURABLE CODE";"A method for resetting credentials of an account of a user by a server and a database associated with the server is provided, the database including records of electronic accounts. The method includes logging into an account recovery website hosted by the server for requesting an account recovery, generating an account recovery item at the server and generating an optical code that represents the account recovery item, the account recovery item including identity information to identify the account of the user, and printing the optical code that represents the account recovery item onto an object with a printer. The method further includes capturing and processing an image of the optical code from the object to extract the identity information of the account recovery item, matching the identity information with the records of the electronic accounts of the database at the server, and prompting the user to update account credentials. <img file=""imgaf001.tif"" he=""77"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/><img file=""imgaf002.tif"" he=""65"" id=""iaf02"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""165""/>"
"EP 3025480 A1 20160601";"20160601";"201622";"en";"";"";"20130724";"WO2015010738 20150129 [2015-04]";"EP2013065655 20130724 (en)";"20130724";"";"";"";"H04L 29/08 (2006.01)
H04L 29/06 (2006.01)";"52072 Aachen
52066 Aachen
52072 Aachen
54248 Thessaloniki";"DE
DE
DE
GR";"164 83 Stockholm";"SE";"52134 Herzogenrath";"DE";"STATE INFORMATION OFFLOADING FOR DIAMETER AGENTS";""
"EP 3026575 A1 20160601";"20160601";"201622";"en";"";"";"20141126";"";"";"";"";"";"";"G06F 17/30 (2006.01)";"14576 Dionysos Athens";"GR";"81379 München";"DE";"81545 München";"DE";"Method for referring to specific content on a web page and web browsing system";"The invention relates to a method for referring to specific content on a web page, comprising addressing the web page by way of a URL (S0), wherein at least one extra part of the URL contains information on the specific content to be referred to on the web page (S2-S3), wherein when the one extra part of the URL is disregarded, the web page is addressed by way of the URL in that the specific content to be referred to on the web page is disregarded (T2-T4). <img file=""imgaf001.tif"" he=""122"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""104""/>"
"EP 3031243 A1 20160615";"20160615";"201624";"en";"US 201361862720 P 20130806
US 201314088613 20131125";"20130806
20131125";"20130806";"WO2015021142 20150212 [2015-06]";"US2014049926 20140806 (en)";"20140806";"";"";"";"H04W 48/02 (2009.01)
H04W 76/00 (2009.01)";"GR-15354 Athens";"GR";"Libertyville, IL 60048";"US";"80333 München";"DE";"METHOD AND DEVICE FOR ACCEPTING OR REJECTING A REQUEST ASSOCIATED WITH A MOBILE DEVICE WIRELESSLY CONNECTING TO A NETWORK";""
"EP 3035729 A1 20160622";"20160622";"201625";"en";"";"";"20141218";"";"";"";"";"";"G01R 29/08 (2006.01)
H04M 1/24 (2006.01)";"H04W 24/06 (2009.01)
H04B 17/382 (2015.01)";"14121 Neo Iraklio";"GR";"02610 Espoo";"FI";"80240 München";"DE";"Apparatus for testing RF communication equipment";"There is provided an apparatus for testing RF communication equipment. The apparatus comprises (a) a first compartment comprising a first antenna, (b) a second compartment comprising a second antenna, (c) a third compartment for receiving a mobile RF communication unit, wherein the third compartment is in communication with the first compartment through a first opening and in communication with the second compartment through a second opening, and (d) an adjustment mechanism for (i) adjusting the effective size of the first opening in order to control the strength of an RF signal between the first antenna and the mobile RF communication unit and (ii) adjusting the effective size of the second opening in order to control the strength of an RF signal between the second antenna and the mobile RF communication unit. Furthermore, a system, a method of manufacture, a method of testing and a corresponding computer program are provided. <img file=""imgaf001.tif"" he=""103"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""126""/><img file=""imgaf002.tif"" he=""106"" id=""iaf02"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""134""/>"
"EP 3038830 A1 20160706";"20160706";"201627";"en";"";"";"20130829";"WO2015028064 20150305 [2015-09]";"EP2013067895 20130829 (en)";"20130829";"";"";"";"B41C 1/02 (2006.01)
B41C 1/18 (2006.01)
B41N 1/06 (2006.01)
B41N 1/20 (2006.01)";"GR-14574 Rodopoli Attikis";"GR";"96 960 Majuro";"MH";"2594 AC The Hague";"NL";"METHOD OF MANUFACTURING ROTOGRAVURE CYLINDERS";""
"EP 3038830 B1 20170614";"20170614";"201724";"en";"";"";"20130829";"WO2015028064 20150305 [2015-09]";"EP2013067895 20130829 (en)";"20130829";"";"";"";"B41C 1/02 (2006.01)
B41C 1/18 (2006.01)
B41N 1/06 (2006.01)
B41N 1/20 (2006.01)";"14574 Rodopoli Attikis";"GR";"96 960 Majuro";"MH";"2594 AC The Hague";"NL";"METHOD OF MANUFACTURING ROTOGRAVURE CYLINDERS";""
"EP 3044882 A1 20160720";"20160720";"201629";"en";"US 201314027081 20130913";"20130913";"20130913";"WO2015036122 20150319 [2015-11]";"EP2014002475 20140912 (en)";"20140912";"";"";"";"H03M 13/11 (2006.01)
H03M 13/00 (2006.01)
G06F 7/00 (2006.01)";"GR-264 43 Patras
GR-263 32 Patras
GR-264 42 Patras";"GR
GR
GR";"8800 Thalwil";"CH";"Sevenoaks, Kent TN13 1XR";"GB";"METHOD AND APPARATUS FOR IDENTIFYING FIRST AND SECOND EXTREME VALUES FROM AMONG A SET OF VALUES";""
"EP 3047575 A1 20160727";"20160727";"201630";"en";"US 201314031505 20130919";"20130919";"20130919";"WO2015039759 20150326 [2015-12]";"EP2014002544 20140918 (en)";"20140918";"";"";"";"H03M 13/11 (2006.01)
H03M 13/13 (2006.01)";"GR-26443 Patras
GR-26332 Patras
GR-26442 Patras";"GR
GR
GR";"8800 Thalwil";"CH";"Sevenoaks, Kent TN13 1XR";"GB";"ENCODING OF LOW-DENSITY PARITY CHECK FOR DIFFERENT LOW-DENSITY PARITY CHECK (LDPC) CODES SHARING COMMON HARDWARE RESOURCES";""
"EP 3052163 A1 20160810";"20160810";"201632";"en";"PL 40548613 20130930";"20130930";"20130930";"WO2015047114 20150402 [2015-13]";"PL2013050024 20131028 (en)";"20131028";"";"";"";"A61M 5/32 (2006.01)
A61M 5/46 (2006.01)";"PL-01-864 Warszawa
Dodecanes";"PL
GR";"95-035 Ozorkow";"PL";"03-930 Warszawa";"PL";"SAFETY NEEDLE DEVICE";""
"EP 3057045 A1 20160817";"20160817";"201633";"en";"DE 102015001809 20150212";"20150212";"20150212";"";"";"";"";"";"";"G06Q 10/10 (2012.01)";"15231 Chalandri";"GR";"80807 München";"DE";"81545 München";"DE";"METHOD FOR GENERATING AN ELECTRONIC MESSAGE ON AN ELECTRONIC MAIL CLIENT SYSTEM, COMPUTER PROGRAM PRODUCT FOR EXECUTING THE METHOD, COMPUTER READABLE MEDIUM HAVING CODE STORED THEREON THAT DEFINES THE METHOD, AND A COMMUNICATIONS DEVICE";"The invention relates to a computer-implemented method for generating an electronic message on an electronic mail client system, the electronic message comprising a subject header text field and a message body text field, the method comprising the steps of a) parsing, by an e-mail parser, a string representing the electronic message, b) determining, by the e-mail parser, from the parsed string whether there is character content in the header subject text field, c) determining, by the e-mail parser, from the parsed string whether there is character content in the message body text field, d) determining, by the e-mail parser, whether a predefined character string is present in a subject header text field of the electronic message, and if it is determined that there is no character content in the message body text field, and if it is determined that no predefined character string is present in the subject header of the electronic message, and e) inserting, by the e-mail parser, into the subject header text field a predefined character string indicating that there is no character content in the message body text field. The invention further relates to a computer program product for executing the above mentioned method, and a non-transitory computer readable medium. Further, the invention relates to a communications device comprising an electronic mail client, the electronic mail client comprising a text editor, an e-mail parser and e-mail composer module, and a communications module, the electronic mail client being adapted for carrying out the above mentioned method. <img file=""imgaf001.tif"" he=""82"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""78""/>"
"EP 3057599 A1 20160824";"20160824";"201634";"en";"US 201361892104 P 20131017";"20131017";"20131017";"WO2015058161 20150423 [2015-16]";"US2014061262 20141017 (en)";"20141017";"";"";"";"A61K 35/12 (2006.01)
A61P 21/00 (2006.01)";"Baltimore, Maryland 21208
Towson, Maryland 21286
Baltimore, Maryland 21227
GR-15343 Athens";"US
US
US
GR";"Baltimore, MD 21201";"US";"Edinburgh EH3 8EG";"GB";"METHODS OF GENERATING MATURE HUMAN MUSCLE FIBERS";""
"EP 3058781 A1 20160824";"20160824";"201634";"en";"US 201314055904 20131017";"20131017";"20131017";"WO2015057927 20150423 [2015-16]";"US2014060836 20141016 (en)";"20141016";"";"";"";"H04W 48/20 (2009.01)
H04W 48/16 (2009.01)
H04W 88/02 (2009.01)";"GR-15354 Athens
Gloucestershire Meysey Hampton GL7 5JS";"GR
GB";"Libertyville, IL 60048-5343";"US";"80333 München";"DE";"SELECTING AN ACCESS POINT FOR WIRELESSLY CONNECTING TO A NETWORK";""
"EP 3058979 A1 20160824";"20160824";"201634";"en";"EP 12005814 20120810";"20120810";"20120810";"";"";"";"";"";"";"A61M 25/00 (2006.01)";"11257 Athens
182 32 Danderyd
563 91 Gränna";"GR
SE
SE";"111 45 Stockholm";"SE";"81675 München";"DE";"FLUID EXCHANGE CATHETER AND PROCESS FOR UNBLOCKING A FLUID EXCHANGE CATHETER";"According to the invention, a fluid exchange catheter is provided, which catheter has a proximal end and a distal end, and comprises an outer lumen having a proximal end adapted for fluid infusion and a distal end having a closed shape, and at least one inner lumen having a proximal end adapted for fluid aspiration and a distal end being arranged inside the outer lumen remote from the distal end of the outer lumen, wherein a lumen wall of the outer lumen forms a distal wall portion at the distal end of the outer lumen, the distal wall portion of the outer lumen comprising at least one lumen opening in the lumen wall, and wherein the distal end of the inner lumen comprises at least one lumen opening in the lumen wall, and wherein the at least one lumen opening in the lumen wall of the at least one inner lumen is larger than the at least one lumen opening in the lumen wall of the outer lumen. Furthermore, a process for unblocking such a fluid exchange catheter is provided. <img file=""imgaf001.tif"" he=""58"" id=""iaf01"" img-content=""drawing"" img-format=""tif"" inline=""no"" orientation=""portrait"" wi=""88""/>"
"EP 3060602 A1 20160831";"20160831";"201635";"en";"BE 201300605 20130913";"20130913";"20130913";"WO2016106439 20160707 [2016-27]";"BE2014000046 20140915 (nl)";"20140915";"";"";"";"C08J 7/04 (2006.01)
B29C 45/00 (2006.01)";"B-9070 Destelbergen
B-9070 Destelbergen";"BE
BE";"9230 Wetteren";"BE";"542 49 Thessaloniki";"GR";"COATED PREFORM FOR CONTAINER AND METHOD FOR PRODUCING THE SAME";""
